Path Data:
Index   x       y       z       psi     theta   phi
1          1.0000     -3.0000    -2.0000    0.0000     0.0000     0.0000    
2          0.8074     -2.7004    -1.8853    16.8291    6.5398     6.1757    
3          0.6148     -2.4008    -1.7706    33.6582    13.0796    12.3514   
4          0.3725     -2.3325    -1.4454    33.6031    16.1757    25.9638   
5          0.0601     -2.3385    -1.1141    36.7317    21.7922    30.2811   
6          -0.2523    -2.3445    -0.7828    39.8604    27.4086    34.5984   
7          -0.5646    -2.3505    -0.4515    42.9890    33.0251    38.9157   
8          -0.7601    -1.9948    -0.1906    46.0960    44.2449    37.5236   
9          -0.9556    -1.6391    0.0703     49.2030    55.4648    36.1315   
10         -1.1511    -1.2835    0.3311     52.3099    66.6846    34.7394   
11         -1.3465    -0.9278    0.5920     55.4169    77.9045    33.3472   
12         -1.5420    -0.5722    0.8529     58.5238    89.1243    31.9551   
13         -1.1503    -0.7242    0.6659     70.2220    84.0355    28.8516   
14         -0.7586    -0.8762    0.4789     81.9202    78.9467    25.7480   
15         -0.3669    -1.0282    0.2920     93.6184    73.8578    22.6445   
16         0.0248     -1.1801    0.1050     105.3166   68.7690    19.5409   
17         0.4165     -1.3321    -0.0820    117.0148   63.6802    16.4374   
18         0.1642     -1.2618    -0.0039    118.2100   81.9210    33.8408   
19         -0.0881    -1.1915    0.0741     119.4053   100.1618   51.2443   
20         -0.3403    -1.1212    0.1522     120.6006   118.4026   68.6478   
21         -0.5926    -1.0509    0.2303     121.7958   136.6434   86.0512   
22         -0.8449    -0.9806    0.3084     122.9911   154.8842   103.4547  
23         -1.0972    -0.9103    0.3865     124.1864   173.1250   120.8581  
24         -1.2431    -1.1132    0.6233     113.5319   158.0613   111.3367  
25         -1.3889    -1.3162    0.8600     102.8775   142.9976   101.8152  
26         -1.5348    -1.5191    1.0968     92.2230    127.9339   92.2937   
27         -1.6806    -1.7220    1.3336     81.5686    112.8702   82.7722   
28         -1.8000    -1.4359    1.0178     88.8444    112.0424   75.6602   
29         -1.9193    -1.1497    0.7020     96.1202    111.2147   68.5482   
30         -1.4251    -1.1190    0.7312     95.3018    112.9434   60.4251   
31         -0.9310    -1.0883    0.7603     94.4835    114.6721   52.3020   
32         -0.4368    -1.0576    0.7895     93.6652    116.4008   44.1789   
33         -0.6051    -0.7798    0.4941     106.4982   125.1788   45.4617   
34         -0.7733    -0.5020    0.1987     119.3313   133.9568   46.7444   
35         -0.9416    -0.2242    -0.0967    132.1643   142.7348   48.0272   
36         -1.1098    0.0536     -0.3921    144.9974   151.5128   49.3100   
37         -1.1936    -0.1102    -0.7593    145.2592   155.2485   62.6032   
38         -1.2774    -0.2740    -1.1265    145.5210   158.9843   75.8963   
39         -1.3115    0.1620     -1.1817    130.7034   160.5999   83.4707   
40         -1.3457    0.5980     -1.2370    115.8859   162.2155   91.0450   
41         -1.3798    1.0340     -1.2923    101.0684   163.8311   98.6193   
42         -1.4139    1.4700     -1.3475    86.2508    165.4467   106.1937  
43         -1.4481    1.9060     -1.4028    71.4333    167.0623   113.7680  
44         -1.4822    2.3420     -1.4580    56.6158    168.6779   121.3424  
45         -1.5164    2.7780     -1.5133    41.7982    170.2935   128.9167  
46         -1.8388    2.9260     -1.1711    50.5994    120.0978   122.9722  
47         -1.6776    2.8520     -1.3422    46.1988    145.1957   125.9445  
48         -2.0000    3.0000     -1.0000    55.0000    95.0000    120.0000  
